base_title,episodes,year,rating,genres,mood,complexity,pacing,target_audience,themes,setting,art_style,popularity_score
Mushishi,46,2005,8.65,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",contemplative,medium,very_slow,mature,nature_spirituality_mystery,historical_rural,atmospheric,81
Violet Evergarden,13,2018,8.69,"['Drama']",emotional,medium,slow,mature,love_loss_healing,post_war_fantasy,gorgeous,89
Mob Psycho 100,37,2016,8.6,"['Comedy', 'Action', 'Supernatural']",wholesome,medium,medium,teen,self_improvement_kindness,modern_urban,unique,91
Berserk,25,1997,8.6,"['Drama', 'Fantasy', 'Adventure', 'Action', 'Horror']",dark,high,medium,mature,betrayal_revenge_darkness,medieval_dark_fantasy,gritty,84
One-Punch Man,24,2015,8.55,"['Comedy', 'Action', 'Superhero']",satirical,low,fast,teen_adult,heroism_boredom_parody,modern_superhero,dynamic,96
Samurai Champloo,26,2004,8.5,"['Adventure', 'Comedy', 'Action']",stylish,medium,episodic,mature,journey_friendship_past,edo_period_japan,hip_hop,91
The Promised Neverland,12,2019,8.49,"['Drama', 'Mystery', 'Suspense']",tense,high,fast,teen,escape_intelligence_family,dystopian_orphanage,clean,93
Haikyuu!!,85,2014,8.44,"['Sports', 'Comedy']",inspiring,low,fast,teen,teamwork_perseverance_growth,modern_school,energetic,94
Psycho-Pass,22,2012,8.33,"['Suspense', 'Mystery', 'Sci-Fi', 'Action']",dystopian,high,medium,mature,justice_free_will_surveillance,cyberpunk,sleek,87
Neon Genesis Evangelion,26,1995,8.36,"['Drama', 'Sci-Fi', 'Suspense', 'Avant Garde', 'Action']",psychological,very_high,complex,mature,depression_identity_apocalypse,post_apocalyptic,abstract,89
Parasyte: The Maxim,24,2014,8.32,"['Suspense', 'Sci-Fi', 'Horror', 'Action']",psychological,high,medium,mature,humanity_survival_identity,modern_urban,realistic,88
March Comes in Like a Lion,44,2016,8.32,"['Drama', 'Slice of Life']",melancholic,medium,slow,mature,depression_family_healing,modern_realistic,soft,85
Erased,12,2016,8.31,"['Drama', 'Mystery', 'Suspense']",emotional,medium,medium,mature,time_travel_child_abuse_redemption,modern_realistic,clean,91
Anohana: The Flower We Saw That Day,11,2011,8.29,"['Drama']",emotional,medium,medium,teen_adult,grief_friendship_guilt,modern_realistic,soft,88
Dr. Stone,57,2019,8.22,"['Adventure', 'Comedy', 'Sci-Fi']",educational,medium,medium,teen,science_civilization_friendship,post_apocalyptic,colorful,89
Gurren Lagann,27,2007,8.62,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",epic,medium,fast,teen_adult,evolution_fighting_spirit,post_apocalyptic,dynamic,90
Re:Zero - Starting Life in Another World,50,2016,8.22,"['Fantasy', 'Drama', 'Suspense', 'Isekai']",intense,high,medium,mature,suffering_redemption_obsession,fantasy_world,modern,95
Made in Abyss,25,2017,8.71,"['Fantasy', 'Adventure', 'Mystery', 'Horror']",dark,high,slow,mature,exploration_sacrifice_brutality,fantasy_abyss,picturesque,87
Chainsaw Man,12,2022,8.55,"['Action', 'Supernatural', 'Horror']",chaotic,medium,fast,mature,dreams_survival_humanity,modern_urban_fantasy,cinematic,98
Spy x Family,37,2022,8.59,"['Comedy', 'Action', 'Slice of Life']",heartwarming,low,medium,family,family_espionage_comedy,fictional_cold_war,clean,99
Fruits Basket,63,2019,8.5,"['Drama', 'Romance', 'Supernatural']",emotional,medium,medium,teen_adult,trauma_acceptance_love,modern_realistic,soft,92
Bocchi the Rock!,12,2022,8.81,"['Comedy', 'Music', 'Slice of Life']",anxious,low,medium,teen_adult,social_anxiety_friendship_music,modern_school,expressive,90
Ranking of Kings,23,2021,8.8,"['Fantasy', 'Adventure']",inspiring,medium,medium,family,strength_kindness_prejudice,fairytale_fantasy,picture_book,89
Mushoku Tensei: Jobless Reincarnation,47,2021,8.37,"['Fantasy', 'Adventure', 'Drama', 'Isekai']",adventurous,medium,slow,mature,redemption_growth_world_building,detailed_fantasy_world,high_quality,93
Madoka Magica,12,2011,8.37,"['Drama', 'Suspense', 'Horror']",dark,very_high,fast,mature,hope_despair_sacrifice,modern_magical,unique,91
Kill la Kill,24,2013,8.04,"['Action', 'Comedy']",hyperactive,low,very_fast,mature,freedom_identity_fashion,dystopian_school,exaggerated,88
FLCL,6,2000,7.97,"['Comedy', 'Sci-Fi', 'Avant Garde', 'Action']",surreal,very_high,very_fast,mature,puberty_growing_up,modern_suburban,chaotic,82
Baccano!,16,2007,8.37,"['Action', 'Mystery', 'Supernatural']",chaotic,very_high,non_linear,mature,immortality_crime_storytelling,1930s_america,detailed,84
Durarara!!,60,2010,8.13,"['Action', 'Mystery', 'Supernatural']",interconnected,high,medium,mature,urban_legends_human_connection,modern_tokyo,stylish,89
JoJo's Bizarre Adventure,190,2012,8.5,"['Fantasy', 'Adventure', 'Action']",bizarre,medium,medium,teen_adult,fate_family_strategy,historical_modern,unique,96
Ouran High School Host Club,26,2006,8.15,"['Comedy', 'Romance']",lighthearted,low,medium,teen,parody_friendship_class,modern_school,elegant,92
Maid Sama!,26,2010,8.0,"['Comedy', 'Romance']",charming,low,medium,teen,love_school_life,modern_school,classic_shoujo,89
Yona of the Dawn,24,2014,8.05,"['Fantasy', 'Drama', 'Adventure', 'Romance']",adventurous,medium,medium,teen,coming_of_age_royalty_revenge,historical_fantasy,beautiful,86
Hajime no Ippo: The Fighting!,75,2000,8.71,"['Sports', 'Comedy']",motivational,medium,medium,teen,boxing_determination_growth,90s_japan,classic,87
Yuri!!! on Ice,12,2016,7.91,"['Sports', 'Drama', 'Romance']",emotional,low,medium,teen_adult,ice_skating_love_anxiety,modern_international,graceful,90
Overlord,52,2015,7.91,"['Fantasy', 'Action', 'Isekai']",dark,medium,medium,mature,power_conquest_morality,fantasy_game_world,detailed,92
Konosuba: God's Blessing on This Wonderful World!,20,2016,8.11,"['Comedy', 'Fantasy', 'Adventure', 'Isekai']",satirical,low,fast,teen_adult,parody_comedy_adventure,fantasy_game_world,expressive,94
That Time I Got Reincarnated as a Slime,48,2018,8.11,"['Fantasy', 'Adventure', 'Isekai']",lighthearted,low,medium,teen,nation_building_friendship,fantasy_world,colorful,93
From the New World,25,2012,8.29,"['Drama', 'Mystery', 'Sci-Fi', 'Horror']",unsettling,very_high,slow,mature,society_power_humanity,dystopian_future,atmospheric,80
Ergo Proxy,23,2006,7.86,"['Mystery', 'Sci-Fi', 'Suspense']",philosophical,very_high,slow,mature,consciousness_identity_dystopia,post_apocalyptic,dark,78
Natsume's Book of Friends,74,2008,8.3,"['Drama', 'Slice of Life', 'Supernatural']",gentle,low,slow,family,kindness_loneliness_spirits,modern_rural,soft,84
Laid-Back Camp,37,2018,8.23,"['Slice of Life', 'Comedy']",cozy,low,very_slow,family,camping_friendship_nature,modern_japan,cute,85
Horimiya,13,2021,8.17,"['Romance', 'Slice of Life', 'Comedy']",wholesome,low,medium,teen,love_identity_high_school,modern_school,clean,92
My Dress-Up Darling,12,2022,8.23,"['Romance', 'Slice of Life', 'Comedy']",charming,low,medium,teen,cosplay_passion_romance,modern_school,vibrant,91
Oshi no Ko,11,2023,8.87,"['Drama', 'Supernatural', 'Suspense']",dramatic,high,fast,mature,entertainment_industry_revenge,modern_japan,stylish,97
Cyberpunk: Edgerunners,10,2022,8.58,"['Sci-Fi', 'Action']",tragic,medium,fast,mature,dystopia_transhumanism_love,cyberpunk_city,vibrant,94
The Girl Who Leapt Through Time,1,2006,8.24,"['Drama', 'Romance', 'Sci-Fi', 'Award Winning']",bittersweet,medium,medium,teen_adult,time_travel_youth_consequences,modern_school,simple,86
Wolf Children,1,2012,8.56,"['Fantasy', 'Slice of Life', 'Award Winning']",heartwarming,medium,slow,family,motherhood_family_identity,modern_rural,beautiful,88
Dragon Ball Z,291,1989,8.15,"['Action', 'Adventure']",epic,low,medium,teen,power_fighting_friendship,sci_fi_fantasy_world,classic_toriyama,99
Sailor Moon,200,1992,7.7,"['Romance', 'Supernatural']",magical,low,episodic,teen,love_friendship_destiny,modern_tokyo,classic_shoujo,95
Yu Yu Hakusho: Ghost Files,112,1992,8.44,"['Action', 'Supernatural']",action_packed,medium,medium,teen,spirit_detective_tournaments_friendship,modern_urban_demon_world,classic_90s,93
Rurouni Kenshin,95,1996,8.37,"['Action', 'Adventure', 'Romance']",historical,medium,medium,teen_adult,redemption_samurai_peace,meiji_era_japan,classic_90s,89
Inuyasha,193,2000,7.85,"['Action', 'Adventure', 'Fantasy', 'Romance']",adventurous,medium,medium,teen,demons_love_time_travel,feudal_japan,classic,94
Fullmetal Alchemist,51,2003,8.17,"['Fantasy', 'Drama', 'Adventure', 'Action']",darker,high,medium,teen_adult,equivalent_exchange_family,steampunk_fantasy,detailed_03,91
Soul Eater,51,2008,7.85,"['Action', 'Supernatural', 'Comedy']",stylish,medium,medium,teen,partnership_madness_soul,fantasy_school,gothic_pop,90
Fairy Tail,328,2009,7.6,"['Fantasy', 'Adventure', 'Action', 'Comedy']",lighthearted,low,medium,teen,friendship_guild_magic,fantasy_world,standard,95
Black Clover,170,2017,7.4,"['Fantasy', 'Action', 'Comedy']",energetic,low,fast,teen,perseverance_magic_rivalry,fantasy_world,modern_shonen,92
The Rising of the Shield Hero,38,2019,7.92,"['Fantasy', 'Action', 'Isekai']",dark,medium,medium,teen_adult,betrayal_prejudice_trust,fantasy_world,modern,93
No Game No Life,12,2014,8.12,"['Comedy', 'Fantasy', 'Isekai']",strategic,medium,fast,teen_adult,games_intelligence_strategy,fantasy_game_world,vibrant,90
Death Parade,12,2015,8.16,"['Drama', 'Mystery', 'Suspense']",philosophical,high,episodic,mature,judgment_humanity_afterlife,limbo_bar,elegant,85
Terror in Resonance,11,2014,8.08,"['Suspense', 'Mystery']",tense,high,medium,mature,terrorism_society_youth,modern_tokyo,realistic,83
Odd Taxi,13,2021,8.69,"['Mystery']",dialogue_driven,high,slow,mature,mystery_secrets_modern_life,anthropomorphic_tokyo,simple,82
To Your Eternity,40,2021,8.41,"['Drama', 'Fantasy', 'Supernatural']",emotional,medium,slow,mature,immortality_humanity_loss,various_fantasy,clean,86
Vivy: Fluorite Eye's Song,13,2021,8.37,"['Sci-Fi', 'Action', 'Music']",thrilling,high,fast,mature,ai_humanity_time_travel,future_earth,sleek,84
86,23,2021,8.3,"['Drama', 'Sci-Fi', 'Action', 'Mecha']",tragic,high,medium,mature,war_racism_dehumanization,dystopian_military,sharp,85
Golden Kamuy,49,2018,7.99,"['Adventure', 'Action', 'Historical']",unpredictable,medium,medium,mature,survival_treasure_ainu_culture,meiji_era_hokkaido,gritty,81
Space Brothers,99,2012,8.46,"['Comedy', 'Sci-Fi', 'Slice of Life']",inspiring,low,slow,all_ages,dreams_space_brotherhood,modern_realistic,clean,80
Barakamon,12,2014,8.34,"['Comedy', 'Slice of Life']",heartwarming,low,slow,family,calligraphy_rural_life_community,modern_rural_island,soft,83
Kimi ni Todoke: From Me to You,38,2009,7.97,"['Romance', 'Slice of Life']",sweet,low,slow,teen,first_love_friendship_misunderstanding,modern_school,classic_shoujo,88
Nana,47,2006,8.43,"['Drama', 'Romance', 'Music', 'Slice of Life']",realistic,medium,medium,mature,love_friendship_adulthood,modern_tokyo,fashionable,87
Cardcaptor Sakura,70,1998,8.13,"['Fantasy', 'Romance']",magical,low,episodic,family,magical_girl_love_friendship,modern_town,classic_shoujo,86
Blue Lock,24,2022,8.21,"['Sports']",intense,low,fast,teen,ego_soccer_competition,training_facility,sharp,91
Run with the Wind,23,2018,8.38,"['Sports', 'Drama']",motivational,medium,medium,teen_adult,running_teamwork_personal_growth,modern_university,realistic,82
Free!,37,2013,7.31,"['Sports', 'Slice of Life']",fun,low,medium,teen,swimming_friendship_rivalry,modern_school,attractive,87
The Quintessential Quintuplets,24,2019,7.57,"['Comedy', 'Romance']",harem,low,medium,teen,love_study_family,modern_school,cute,92
Howl's Moving Castle,1,2004,8.66,"['Fantasy', 'Adventure', 'Award Winning']",whimsical,medium,medium,family,love_war_identity,magical_fantasy,ghibli,94
My Neighbor Totoro,1,1988,8.37,"['Fantasy', 'Award Winning']",heartwarming,low,slow,family,childhood_nature_family,rural_japan,ghibli,91
Kiki's Delivery Service,1,1989,8.21,"['Fantasy', 'Adventure']",charming,low,slow,family,coming_of_age_independence,witch_town,ghibli,90
Castle in the Sky,1,1986,8.28,"['Fantasy', 'Adventure', 'Award Winning']",adventurous,medium,medium,family,adventure_technology_nature,floating_island,ghibli,88
Nausicaä of the Valley of the Wind,1,1984,8.35,"['Fantasy', 'Adventure', 'Award Winning']",environmental,high,medium,mature,nature_war_pacifism,post_apocalyptic,ghibli,85
Naruto Shippuden,500,2007,8.26,"['Action', 'Adventure']",epic,medium,medium,teen,war_friendship_sacrifice,ninja_fantasy,classic,98
Dragon Ball,153,1986,8.02,"['Adventure', 'Comedy', 'Fantasy']",adventurous,low,medium,family,adventure_martial_arts_friendship,fantasy_world,classic_toriyama,93
Mobile Suit Gundam,43,1979,7.91,"['Sci-Fi', 'Mecha', 'Drama']",classic,high,medium,mature,war_politics_newtypes,space_opera,retro,78
Mobile Suit Gundam Wing,49,1995,7.67,"['Sci-Fi', 'Mecha', 'Action']",dramatic,high,medium,teen,war_terrorism_philosophy,space_colony,classic_90s,85
Mobile Suit Gundam SEED,50,2002,7.8,"['Sci-Fi', 'Mecha', 'Drama', 'Action']",emotional,high,medium,teen_adult,war_racism_genetics,space_opera,modern_classic,83
Macross Frontier,25,2008,8.02,"['Sci-Fi', 'Mecha', 'Romance', 'Music']",operatic,medium,medium,teen_adult,music_love_triangle_war,space_opera,vibrant,80
Summertime Rendering,25,2022,8.47,"['Mystery', 'Suspense', 'Supernatural']",tense,high,fast,mature,time_loops_mystery_horror,modern_rural_island,clean,86
Another,12,2012,7.49,"['Mystery', 'Suspense', 'Horror']",gory,medium,medium,mature,curse_death_mystery,modern_school,dark,88
When They Cry,26,2006,7.85,"['Mystery', 'Suspense', 'Horror']",unsettling,very_high,non_linear,mature,madness_conspiracy_time_loops,rural_village,moe_horror,82
Shiki,22,2010,7.74,"['Mystery', 'Suspense', 'Horror', 'Supernatural']",dread,high,slow,mature,vampires_humanity_paranoia,isolated_village,stylized,79
Devilman Crybaby,10,2018,7.82,"['Action', 'Supernatural', 'Horror']",apocalyptic,very_high,fast,very_mature,humanity_devils_love,modern_world,unique,87
Dororo,24,2019,8.2,"['Action', 'Adventure', 'Supernatural', 'Historical']",dark,medium,medium,mature,humanity_demons_revenge,feudal_japan,gritty,88
The Tatami Galaxy,11,2010,8.58,"['Mystery', 'Romance', 'Avant Garde']",fast_talking,very_high,very_fast,mature,college_life_choices_fate,kyoto_university,unique,81
Monogatari Series,100,2009,8.3,"['Mystery', 'Romance', 'Supernatural', 'Avant Garde']",dialogue_heavy,very_high,fast,mature,aberrations_love_language,modern_japan,shaft,90
Land of the Lustrous,12,2017,8.36,"['Fantasy', 'Action', 'Drama']",beautiful,high,medium,mature,immortality_identity_buddhism,far_future_earth,stunning_cgi,84
Keep Your Hands Off Eizouken!,12,2020,8.1,"['Comedy', 'Adventure']",creative,low,medium,teen_adult,animation_passion_friendship,modern_school,energetic,83
Great Pretender,23,2020,8.2,"['Comedy', 'Action']",clever,medium,fast,mature,con_artists_trust_justice,international,colorful,85
Beastars,24,2019,7.85,"['Drama', 'Slice of Life', 'Suspense']",psychological,high,medium,mature,instinct_society_prejudice,anthropomorphic_school,unique_cgi,88
Aggretsuko,50,2018,7.8,"['Comedy', 'Slice of Life']",relatable,low,fast,mature,office_life_rage_adulthood,modern_tokyo,sanrio,84
Megalo Box,26,2018,7.86,"['Sports', 'Sci-Fi', 'Drama']",gritty,medium,medium,mature,boxing_destiny_underdog,dystopian_city,retro_futuristic,80
Banana Fish,24,2018,8.47,"['Action', 'Drama', 'Suspense']",tragic,high,medium,mature,gangs_trauma_love,modern_new_york,sharp,86
The Ancient Magus' Bride,36,2017,7.94,"['Fantasy', 'Slice of Life']",magical,medium,slow,mature,magic_slavery_love,rural_england,gorgeous,85
Goblin Slayer,24,2018,7.39,"['Fantasy', 'Action']",brutal,low,medium,mature,goblins_trauma_adventure,medieval_fantasy,dark,89
I Want to Eat Your Pancreas,1,2018,8.51,"['Drama', 'Romance']",emotional,medium,medium,teen_adult,illness_life_love,modern_japan,soft,88
Redline,1,2009,8.23,"['Sci-Fi', 'Action', 'Sports']",hyper,low,very_fast,mature,racing_love_freedom,alien_planets,hand_drawn,79
Sword of the Stranger,1,2007,8.27,"['Action', 'Adventure', 'Historical']",action_packed,medium,medium,mature,samurai_redemption_protection,sengoku_japan,fluid_animation,81
Heavenly Delusion,13,2023,8.19,"['Sci-Fi', 'Mystery', 'Adventure']",post_apocalyptic,high,medium,mature,dystopia_monsters_identity,post_apocalyptic_japan,detailed,87
Skip and Loafer,12,2023,8.18,"['Slice of Life', 'Comedy', 'Romance']",charming,low,slow,teen_adult,high_school_ambition_friendship,modern_tokyo,soft,84
Bleach: Thousand-Year Blood War,52,2022,8.9,"['Action', 'Adventure', 'Supernatural']",epic,medium,fast,teen_adult,war_power_destiny,soul_society,modern,96
Bungo Stray Dogs,61,2016,7.9,"['Action', 'Mystery', 'Supernatural']",stylish,medium,medium,teen_adult,detectives_mafia_literary_figures,modern_yokohama,sharp,90
Fire Force,48,2019,7.5,"['Action', 'Supernatural']",fiery,medium,fast,teen,firefighters_conspiracy_religion,post_apocalyptic_tokyo,dynamic,88
The Case Study of Vanitas,24,2021,7.9,"['Supernatural', 'Fantasy', 'Historical']",vampiric,medium,medium,teen_adult,vampires_steampunk_mystery,19th_century_paris,elegant,84
Moriarty the Patriot,24,2020,8.0,"['Mystery', 'Suspense', 'Historical']",intelligent,high,medium,mature,crime_classism_justice,19th_century_london,sharp,83
Hyouka,22,2012,8.03,"['Mystery', 'Slice of Life']",mundane_mystery,medium,slow,teen,curiosity_high_school_mysteries,modern_school,beautiful_kyoto,87
The Melancholy of Haruhi Suzumiya,28,2006,7.8,"['Comedy', 'Mystery', 'Sci-Fi', 'Slice of Life']",unpredictable,high,non_linear,teen_adult,reality_warping_school_life,modern_school,classic_kyoto,89
Nichijou - My Ordinary Life,26,2011,8.3,"['Comedy', 'Slice of Life']",absurdist,low,episodic,teen_adult,surreal_comedy_school_life,modern_town,exaggerated,85
Grand Blue Dreaming,12,2018,8.3,"['Comedy', 'Slice of Life']",hilarious,low,medium,mature,diving_college_life_drinking,modern_university,expressive,89
Hinamatsuri,12,2018,8.2,"['Comedy', 'Slice of Life', 'Supernatural']",heartwarming,low,medium,teen_adult,yakuza_psychic_girl_family,modern_tokyo,clean,84
Cells at Work!,13,2018,7.5,"['Comedy', 'Educational']",educational,low,episodic,family,human_body_biology_work,inside_human_body,cute,85
Log Horizon,50,2013,7.9,"['Adventure', 'Fantasy', 'Isekai']",strategic,high,medium,teen_adult,mmorpg_politics_nation_building,game_world,standard,85
The Devil is a Part-Timer!,25,2013,7.7,"['Comedy', 'Fantasy', 'Romance']",reverse_isekai,low,medium,teen,demon_lord_fast_food_comedy,modern_tokyo,standard,91
Miss Kobayashi's Dragon Maid,23,2017,8.0,"['Comedy', 'Slice of Life', 'Fantasy']",wholesome,low,slow,teen_adult,dragons_family_slice_of_life,modern_japan,kyoto_animation,90
Shirobako,24,2014,8.3,"['Comedy', 'Drama', 'Slice of Life']",insightful,medium,medium,teen_adult,anime_industry_passion_work,anime_studio,realistic,80
Bakuman,75,2010,8.4,"['Comedy', 'Drama', 'Romance']",inspiring,medium,medium,teen,manga_creation_dreams_rivalry,modern_japan,detailed,87
Monthly Girls' Nozaki-kun,12,2014,7.9,"['Comedy', 'Romance', 'Slice of Life']",hilarious,low,episodic,teen,manga_creation_misunderstandings_love,modern_school,clean,88
Wotakoi: Love is Hard for Otaku,11,2018,7.9,"['Comedy', 'Romance', 'Slice of Life']",relatable,low,medium,adult,otaku_romance_work_life,modern_office,simple,90
Tsuki ga Kirei,12,2017,8.1,"['Romance', 'Slice of Life']",realistic,low,slow,teen,first_love_middle_school,modern_school,soft,84
Bloom Into You,13,2018,7.9,"['Drama', 'Romance']",introspective,medium,slow,teen_adult,yuri_love_identity,modern_school,soft,82
Given,11,2019,8.2,"['Drama', 'Romance', 'Music']",emotional,medium,medium,teen_adult,music_grief_love,modern_japan,clean,87
Assassination Classroom,47,2015,8.3,"['Action', 'Comedy']",heartwarming,medium,medium,teen,teaching_assassination_growth,modern_school,colorful,94
Food Wars! Shokugeki no Soma,86,2015,8.2,"['Comedy', 'Ecchi']",delicious,low,fast,teen,cooking_competition_school,culinary_academy,vibrant,92
The Disastrous Life of Saiki K.,50,2016,8.6,"['Comedy', 'Supernatural', 'Slice of Life']",fast_paced,low,very_fast,teen,psychic_powers_comedy_school,modern_school,simple,89
Kingdom,129,2012,8.5,"['Action', 'Historical']",epic,high,medium,mature,war_strategy_unification,ancient_china,cgi_then_2d,82
Showa Genroku Rakugo Shinju,25,2016,8.7,"['Drama', 'Historical']",compelling,high,slow,mature,art_tradition_legacy,showa_era_japan,elegant,79
Hellsing Ultimate,10,2006,8.3,"['Action', 'Supernatural', 'Horror']",violent,medium,slow,mature,vampires_nazis_war,modern_england,dark_stylized,88
Spice and Wolf,25,2008,8.2,"['Adventure', 'Fantasy', 'Romance']",charming,medium,slow,mature,economics_romance_travel,medieval_europe,soft,86
Mononoke,12,2007,8.3,"['Mystery', 'Horror', 'Supernatural']",artistic,high,episodic,mature,exorcism_folklore_psychology,feudal_japan,unique_paper,77
Haibane Renmei,13,2002,8.0,"['Drama', 'Fantasy', 'Slice of Life', 'Mystery']",somber,high,slow,mature,sin_redemption_acceptance,limbo_town,soft,75
Texhnolyze,22,2003,7.7,"['Sci-Fi', 'Suspense', 'Drama']",bleak,very_high,very_slow,mature,nihilism_dystopia_transhumanism,underground_city,dark_gritty,72
Serial Experiments Lain,13,1998,8.0,"['Avant Garde', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense']",philosophical,very_high,slow,mature,identity_internet_communication,modern_suburbia,surreal,80
Kaiba,12,2008,7.91,"['Sci-Fi', 'Mystery', 'Romance', 'Avant Garde']",surreal,very_high,medium,mature,memory_identity_dystopia,dystopian_sci_fi,unique_yuasa,76
The Vision of Escaflowne,26,1996,7.8,"['Adventure', 'Fantasy', 'Mecha', 'Romance']",epic,medium,medium,teen,fate_war_love,fantasy_world,classic_shoujo,81
Eureka Seven,50,2005,8.1,"['Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",romantic,high,medium,teen_adult,coming_of_age_love_rebellion,far_future_earth,vibrant,84
Revolutionary Girl Utena,39,1997,8.1,"['Drama', 'Fantasy', 'Mystery', 'Romance']",symbolic,very_high,medium,mature,fairytales_gender_revolution,fantasy_academy,stylized,78
Princess Tutu,26,2002,8.1,"['Drama', 'Fantasy', 'Mystery', 'Romance']",fairytale,high,medium,teen,fate_free_will_ballet,magical_town,charming,76
Aria the Animation,52,2005,8.0,"['Fantasy', 'Sci-Fi', 'Slice of Life']",peaceful,low,very_slow,family,gondoliering_friendship_beauty,future_mars_venice,beautiful,74
Kino's Journey,13,2003,8.3,"['Adventure', 'Slice of Life', 'Philosophical']",introspective,medium,episodic,mature,travel_humanity_perspective,various_countries,subdued,79
Girls' Last Tour,12,2017,8.11,"['Adventure', 'Slice of Life', 'Sci-Fi']",melancholic,low,slow,mature,post_apocalypse_hope_despair,post_apocalyptic_city,cute,82
Sonny Boy,12,2021,7.8,"['Sci-Fi', 'Suspense', 'Avant Garde']",enigmatic,very_high,slow,mature,drifting_superpowers_society,other_dimensions,minimalist,77
Millennium Actress,1,2001,8.2,"['Drama', 'Fantasy', 'Award Winning']",nostalgic,high,fast,mature,love_memory_film,20th_century_japan,realistic,80
Tokyo Godfathers,1,2003,8.2,"['Comedy', 'Drama', 'Award Winning']",heartwarming,medium,medium,mature,family_coincidence_homelessness,modern_tokyo,realistic,83
Porco Rosso,1,1992,8.1,"['Adventure', 'Award Winning']",charming,medium,medium,family,aviation_bounty_hunting_fascism,1930s_adriatic,ghibli,82
The Tale of The Princess Kaguya,1,2013,8.2,"['Drama', 'Fantasy', 'Historical', 'Award Winning']",bittersweet,medium,slow,family,life_happiness_mortality,heian_japan,sumi_e,81
Summer Wars,1,2009,8.1,"['Sci-Fi', 'Comedy', 'Award Winning']",exciting,medium,fast,family,family_virtual_reality_ai,modern_rural_japan,vibrant,87
The Boy and the Beast,1,2015,8.1,"['Adventure', 'Fantasy', 'Supernatural']",action_packed,medium,medium,family,father_son_coming_of_age,modern_tokyo_beast_world,dynamic,85
Mirai,1,2018,7.6,"['Adventure', 'Drama', 'Fantasy', 'Award Winning']",imaginative,low,slow,family,family_siblinghood_time_travel,modern_japan,soft,79
Belle,1,2021,8.12,"['Drama', 'Fantasy', 'Music', 'Award Winning']",emotional,medium,medium,teen_adult,identity_social_media_grief,modern_virtual_world,gorgeous,86
